observation_date,AAA
1970-01-01,7.91
1970-02-01,7.93
1970-03-01,7.84
1970-04-01,7.83
1970-05-01,8.11
1970-06-01,8.48
1970-07-01,8.44
1970-08-01,8.13
1970-09-01,8.09
1970-10-01,8.03
1970-11-01,8.05
1970-12-01,7.64
1971-01-01,7.36
1971-02-01,7.08
1971-03-01,7.21
1971-04-01,7.25
1971-05-01,7.53
1971-06-01,7.64
1971-07-01,7.64
1971-08-01,7.59
1971-09-01,7.44
1971-10-01,7.39
1971-11-01,7.26
1971-12-01,7.25
1972-01-01,7.19
1972-02-01,7.27
1972-03-01,7.24
1972-04-01,7.30
1972-05-01,7.30
1972-06-01,7.23
1972-07-01,7.21
1972-08-01,7.19
1972-09-01,7.22
1972-10-01,7.21
1972-11-01,7.12
1972-12-01,7.08
1973-01-01,7.15
1973-02-01,7.22
1973-03-01,7.29
1973-04-01,7.26
1973-05-01,7.29
1973-06-01,7.37
1973-07-01,7.45
1973-08-01,7.68
1973-09-01,7.63
1973-10-01,7.60
1973-11-01,7.67
1973-12-01,7.68
1974-01-01,7.83
1974-02-01,7.85
1974-03-01,8.01
1974-04-01,8.25
1974-05-01,8.37
1974-06-01,8.47
1974-07-01,8.72
1974-08-01,9.00
1974-09-01,9.24
1974-10-01,9.27
1974-11-01,8.89
1974-12-01,8.89
1975-01-01,8.83
1975-02-01,8.62
1975-03-01,8.67
1975-04-01,8.95
1975-05-01,8.90
1975-06-01,8.77
1975-07-01,8.84
1975-08-01,8.95
1975-09-01,8.95
1975-10-01,8.86
1975-11-01,8.78
1975-12-01,8.79
1976-01-01,8.60
1976-02-01,8.55
1976-03-01,8.52
1976-04-01,8.40
1976-05-01,8.58
1976-06-01,8.62
1976-07-01,8.56
1976-08-01,8.45
1976-09-01,8.38
1976-10-01,8.32
1976-11-01,8.25
1976-12-01,7.98
1977-01-01,7.96
1977-02-01,8.04
1977-03-01,8.10
1977-04-01,8.04
1977-05-01,8.05
1977-06-01,7.95
1977-07-01,7.94
1977-08-01,7.98
1977-09-01,7.92
1977-10-01,8.04
1977-11-01,8.08
1977-12-01,8.19
1978-01-01,8.41
1978-02-01,8.47
1978-03-01,8.47
1978-04-01,8.56
1978-05-01,8.69
1978-06-01,8.76
1978-07-01,8.88
1978-08-01,8.69
1978-09-01,8.69
1978-10-01,8.89
1978-11-01,9.03
1978-12-01,9.16
1979-01-01,9.25
1979-02-01,9.26
1979-03-01,9.37
1979-04-01,9.38
1979-05-01,9.50
1979-06-01,9.29
1979-07-01,9.20
1979-08-01,9.23
1979-09-01,9.44
1979-10-01,10.13
1979-11-01,10.76
1979-12-01,10.74
1980-01-01,11.09
1980-02-01,12.38
1980-03-01,12.96
1980-04-01,12.04
1980-05-01,10.99
1980-06-01,10.58
1980-07-01,11.07
1980-08-01,11.64
1980-09-01,12.02
1980-10-01,12.31
1980-11-01,12.97
1980-12-01,13.21
1981-01-01,12.81
1981-02-01,13.35
1981-03-01,13.33
1981-04-01,13.88
