observation_date,BAA
1970-01-01,8.86
1970-02-01,8.78
1970-03-01,8.63
1970-04-01,8.70
1970-05-01,8.98
1970-06-01,9.25
1970-07-01,9.40
1970-08-01,9.44
1970-09-01,9.39
1970-10-01,9.33
1970-11-01,9.38
1970-12-01,9.12
1971-01-01,8.74
1971-02-01,8.39
1971-03-01,8.46
1971-04-01,8.45
1971-05-01,8.62
1971-06-01,8.75
1971-07-01,8.76
1971-08-01,8.76
1971-09-01,8.59
1971-10-01,8.48
1971-11-01,8.38
1971-12-01,8.38
1972-01-01,8.23
1972-02-01,8.23
1972-03-01,8.24
1972-04-01,8.24
1972-05-01,8.23
1972-06-01,8.20
1972-07-01,8.23
1972-08-01,8.19
1972-09-01,8.09
1972-10-01,8.06
1972-11-01,7.99
1972-12-01,7.93
1973-01-01,7.90
1973-02-01,7.97
1973-03-01,8.03
1973-04-01,8.09
1973-05-01,8.06
1973-06-01,8.13
1973-07-01,8.24
1973-08-01,8.53
1973-09-01,8.63
1973-10-01,8.41
1973-11-01,8.42
1973-12-01,8.48
1974-01-01,8.48
1974-02-01,8.53
1974-03-01,8.62
1974-04-01,8.87
1974-05-01,9.05
1974-06-01,9.27
1974-07-01,9.48
1974-08-01,9.77
1974-09-01,10.18
1974-10-01,10.48
1974-11-01,10.60
1974-12-01,10.63
1975-01-01,10.81
1975-02-01,10.65
1975-03-01,10.48
1975-04-01,10.58
1975-05-01,10.69
1975-06-01,10.62
1975-07-01,10.55
1975-08-01,10.59
1975-09-01,10.61
1975-10-01,10.62
1975-11-01,10.56
1975-12-01,10.56
1976-01-01,10.41
1976-02-01,10.24
1976-03-01,10.12
1976-04-01,9.94
1976-05-01,9.86
1976-06-01,9.89
1976-07-01,9.82
1976-08-01,9.64
1976-09-01,9.40
1976-10-01,9.29
1976-11-01,9.23
1976-12-01,9.12
1977-01-01,9.08
1977-02-01,9.12
1977-03-01,9.12
1977-04-01,9.07
1977-05-01,9.01
1977-06-01,8.91
1977-07-01,8.87
1977-08-01,8.82
1977-09-01,8.80
1977-10-01,8.89
1977-11-01,8.95
1977-12-01,8.99
1978-01-01,9.17
1978-02-01,9.20
1978-03-01,9.22
1978-04-01,9.32
1978-05-01,9.49
1978-06-01,9.60
1978-07-01,9.60
1978-08-01,9.48
1978-09-01,9.42
1978-10-01,9.59
1978-11-01,9.83
1978-12-01,9.94
1979-01-01,10.13
1979-02-01,10.08
1979-03-01,10.26
1979-04-01,10.33
1979-05-01,10.47
1979-06-01,10.38
1979-07-01,10.29
1979-08-01,10.35
1979-09-01,10.54
1979-10-01,11.40
1979-11-01,11.99
1979-12-01,12.06
1980-01-01,12.42
1980-02-01,13.57
1980-03-01,14.45
1980-04-01,14.19
1980-05-01,13.17
1980-06-01,12.71
1980-07-01,12.65
1980-08-01,13.15
1980-09-01,13.70
1980-10-01,14.23
1980-11-01,14.64
1980-12-01,15.14
1981-01-01,15.03
