observation_date,DNDGRA3M086SBEA
1970-01-01,35.168
1970-02-01,34.943
1970-03-01,35.097
1970-04-01,34.817
1970-05-01,35.130
1970-06-01,35.195
1970-07-01,35.159
1970-08-01,35.254
1970-09-01,35.484
1970-10-01,35.466
1970-11-01,35.577
1970-12-01,36.090
1971-01-01,35.983
1971-02-01,35.988
1971-03-01,35.601
1971-04-01,35.971
1971-05-01,35.796
1971-06-01,36.049
1971-07-01,35.805
1971-08-01,35.820
1971-09-01,35.972
1971-10-01,35.838
1971-11-01,36.209
1971-12-01,36.282
1972-01-01,35.810
1972-02-01,36.088
1972-03-01,36.788
1972-04-01,36.938
1972-05-01,37.346
1972-06-01,37.341
1972-07-01,37.573
1972-08-01,37.707
1972-09-01,37.883
1972-10-01,38.512
1972-11-01,38.408
1972-12-01,38.380
1973-01-01,38.662
1973-02-01,38.837
1973-03-01,38.495
1973-04-01,38.333
1973-05-01,38.268
1973-06-01,38.413
1973-07-01,39.140
1973-08-01,37.899
1973-09-01,38.513
1973-10-01,38.324
1973-11-01,38.529
1973-12-01,38.245
1974-01-01,38.149
1974-02-01,37.867
1974-03-01,37.538
1974-04-01,37.629
1974-05-01,37.598
1974-06-01,37.573
1974-07-01,37.819
1974-08-01,37.782
1974-09-01,37.443
1974-10-01,37.393
1974-11-01,37.075
1974-12-01,36.558
1975-01-01,36.920
1975-02-01,37.034
1975-03-01,37.285
1975-04-01,37.099
1975-05-01,38.396
1975-06-01,38.207
1975-07-01,38.175
1975-08-01,38.379
1975-09-01,38.262
1975-10-01,37.902
1975-11-01,38.245
1975-12-01,38.389
1976-01-01,39.001
1976-02-01,38.825
1976-03-01,39.032
1976-04-01,39.534
1976-05-01,39.261
1976-06-01,39.857
1976-07-01,39.744
1976-08-01,39.889
1976-09-01,39.928
1976-10-01,40.198
1976-11-01,40.128
1976-12-01,40.494
1977-01-01,40.432
1977-02-01,40.251
1977-03-01,40.057
1977-04-01,40.297
1977-05-01,40.332
1977-06-01,40.103
1977-07-01,40.528
1977-08-01,40.331
1977-09-01,40.471
1977-10-01,41.082
1977-11-01,41.551
1977-12-01,41.302
1978-01-01,40.990
1978-02-01,41.583
1978-03-01,41.892
1978-04-01,41.604
1978-05-01,41.878
1978-06-01,41.942
1978-07-01,41.833
1978-08-01,42.030
1978-09-01,42.533
1978-10-01,42.229
1978-11-01,42.674
1978-12-01,43.122
1979-01-01,42.781
1979-02-01,42.876
1979-03-01,42.935
1979-04-01,42.350
1979-05-01,42.718
1979-06-01,43.275
1979-07-01,42.750
1979-08-01,43.492
1979-09-01,43.605
1979-10-01,43.439
1979-11-01,43.668
1979-12-01,43.425
1980-01-01,43.590
1980-02-01,43.609
1980-03-01,43.269
1980-04-01,43.058
1980-05-01,42.924
1980-06-01,42.719
1980-07-01,42.699
1980-08-01,42.987
1980-09-01,42.699
1980-10-01,43.025
1980-11-01,42.779
1980-12-01,43.084
1981-01-01,43.597
1981-02-01,43.276
1981-03-01,43.154
1981-04-01,43.422
1981-05-01,43.403
1981-06-01,43.780
1981-07-01,43.619
1981-08-01,43.682
1981-09-01,43.594
1981-10-01,43.700
1981-11-01,43.665
1981-12-01,44.030
1982-01-01,43.732
1982-02-01,44.059
1982-03-01,43.846
1982-04-01,44.052
1982-05-01,43.883
1982-06-01,43.476
1982-07-01,44.129
1982-08-01,43.827
1982-09-01,44.015
1982-10-01,44.398
1982-11-01,44.280
1982-12-01,44.649
1983-01-01,44.380
1983-02-01,44.368
1983-03-01,45.010
1983-04-01,44.813
1983-05-01,45.024
1983-06-01,45.497
1983-07-01,45.693
1983-08-01,45.754
1983-09-01,45.945
1983-10-01,46.142
1983-11-01,46.378
1983-12-01,46.545
1984-01-01,46.918
1984-02-01,46.072
1984-03-01,46.428
1984-04-01,47.037
1984-05-01,47.349
1984-06-01,48.081
1984-07-01,47.328
1984-08-01,47.322
1984-09-01,47.925
1984-10-01,47.603
1984-11-01,48.172
1984-12-01,47.898
1985-01-01,48.038
1985-02-01,48.398
1985-03-01,48.114
1985-04-01,48.657
1985-05-01,48.689
1985-06-01,48.331
1985-07-01,48.615
1985-08-01,49.032
1985-09-01,49.228
