observation_date,DSERRA3M086SBEA
1970-01-01,25.009
1970-02-01,25.218
1970-03-01,25.089
1970-04-01,25.162
1970-05-01,25.265
1970-06-01,25.354
1970-07-01,25.422
1970-08-01,25.530
1970-09-01,25.687
1970-10-01,25.637
1970-11-01,25.648
1970-12-01,25.746
1971-01-01,25.747
1971-02-01,25.886
1971-03-01,25.933
1971-04-01,26.023
1971-05-01,26.136
1971-06-01,26.191
1971-07-01,26.251
1971-08-01,26.396
1971-09-01,26.443
1971-10-01,26.614
1971-11-01,26.697
1971-12-01,27.016
1972-01-01,27.068
1972-02-01,27.153
1972-03-01,27.459
1972-04-01,27.527
1972-05-01,27.490
1972-06-01,27.650
1972-07-01,27.822
1972-08-01,27.953
1972-09-01,28.008
1972-10-01,28.258
1972-11-01,28.437
1972-12-01,28.587
1973-01-01,28.687
1973-02-01,28.798
1973-03-01,28.889
1973-04-01,28.908
1973-05-01,29.028
1973-06-01,29.174
1973-07-01,29.150
1973-08-01,29.169
1973-09-01,29.364
1973-10-01,29.358
1973-11-01,29.397
1973-12-01,29.251
1974-01-01,29.272
1974-02-01,29.244
1974-03-01,29.327
1974-04-01,29.493
1974-05-01,29.578
1974-06-01,29.654
1974-07-01,29.659
1974-08-01,29.728
1974-09-01,29.806
1974-10-01,29.998
1974-11-01,29.940
1974-12-01,30.171
1975-01-01,30.181
1975-02-01,30.367
1975-03-01,30.400
1975-04-01,30.568
1975-05-01,30.687
1975-06-01,30.783
1975-07-01,30.788
1975-08-01,30.843
1975-09-01,30.841
1975-10-01,31.174
1975-11-01,31.188
1975-12-01,31.441
1976-01-01,31.635
1976-02-01,31.540
1976-03-01,31.720
1976-04-01,31.783
1976-05-01,31.822
1976-06-01,31.920
1976-07-01,32.106
1976-08-01,32.211
1976-09-01,32.363
1976-10-01,32.412
1976-11-01,32.697
1976-12-01,32.898
1977-01-01,33.041
1977-02-01,33.157
1977-03-01,33.013
1977-04-01,33.045
1977-05-01,33.247
1977-06-01,33.281
1977-07-01,33.549
1977-08-01,33.519
1977-09-01,33.570
1977-10-01,33.797
1977-11-01,33.814
1977-12-01,33.981
1978-01-01,34.105
1978-02-01,34.414
1978-03-01,34.660
1978-04-01,34.833
1978-05-01,34.854
1978-06-01,35.044
1978-07-01,34.963
1978-08-01,35.213
1978-09-01,35.306
1978-10-01,35.307
1978-11-01,35.295
1978-12-01,35.436
1979-01-01,35.564
1979-02-01,35.773
1979-03-01,35.806
1979-04-01,35.915
1979-05-01,35.877
1979-06-01,36.012
1979-07-01,35.963
1979-08-01,36.128
1979-09-01,36.116
1979-10-01,36.325
1979-11-01,36.421
1979-12-01,36.367
1980-01-01,36.538
1980-02-01,36.338
1980-03-01,36.422
1980-04-01,36.170
1980-05-01,36.107
1980-06-01,36.331
1980-07-01,36.481
1980-08-01,36.600
1980-09-01,36.782
1980-10-01,37.065
1980-11-01,37.047
1980-12-01,37.429
1981-01-01,37.073
1981-02-01,36.840
1981-03-01,36.989
1981-04-01,37.015
1981-05-01,37.195
1981-06-01,37.448
1981-07-01,37.292
1981-08-01,37.198
1981-09-01,37.186
1981-10-01,37.258
1981-11-01,37.191
1981-12-01,37.463
1982-01-01,37.363
1982-02-01,37.547
1982-03-01,37.591
1982-04-01,37.688
1982-05-01,37.619
1982-06-01,37.822
1982-07-01,37.857
1982-08-01,37.998
1982-09-01,38.149
1982-10-01,38.484
1982-11-01,38.624
1982-12-01,38.659
1983-01-01,38.970
1983-02-01,39.026
1983-03-01,39.312
1983-04-01,39.518
1983-05-01,39.605
1983-06-01,39.783
1983-07-01,40.035
1983-08-01,40.271
1983-09-01,40.355
1983-10-01,40.508
1983-11-01,40.529
1983-12-01,40.869
1984-01-01,40.890
1984-02-01,40.558
1984-03-01,40.999
1984-04-01,41.054
1984-05-01,41.157
1984-06-01,41.199
1984-07-01,41.374
1984-08-01,41.728
1984-09-01,41.856
1984-10-01,41.803
1984-11-01,42.178
1984-12-01,42.352
1985-01-01,42.803
1985-02-01,43.000
1985-03-01,42.820
1985-04-01,43.023
1985-05-01,43.313
1985-06-01,43.470
1985-07-01,43.697
1985-08-01,43.898
1985-09-01,43.957
1985-10-01,44.014
1985-11-01,44.024
1985-12-01,44.568
1986-01-01,44.278
1986-02-01,44.418
1986-03-01,44.456
1986-04-01,44.562
1986-05-01,44.635
1986-06-01,44.759
1986-07-01,44.946
1986-08-01,44.938
1986-09-01,45.193
1986-10-01,45.237
1986-11-01,45.503
1986-12-01,45.819
1987-01-01,45.952
1987-02-01,46.307
1987-03-01,46.505
1987-04-01,46.605
1987-05-01,46.725
1987-06-01,46.804
1987-07-01,47.032
1987-08-01,47.214
1987-09-01,47.136
1987-10-01,47.544
1987-11-01,47.513
1987-12-01,47.712
1988-01-01,48.126
1988-02-01,48.172
1988-03-01,48.419
1988-04-01,48.404
1988-05-01,48.682
1988-06-01,48.915
1988-07-01,49.242
1988-08-01,49.541
1988-09-01,49.409
1988-10-01,49.732
1988-11-01,49.779
1988-12-01,49.925
1989-01-01,49.952
1989-02-01,50.284
1989-03-01,50.216
1989-04-01,50.266
